variant,algo,seed,eval_mode,return_mean,success_rate,animal_lost_rate,truncated_rate,battery_depleted_rate,battery_spent_mean,steps_to_success_mean,effective_barriers_installed_mean,barriers_installed_mean,stall_step_rate,stalled_episode_rate
tuned,ppo,314,stochastic,4.83,1.0,0.0,0.0,0.0,15.04,15.17,0.0,0.0,0.01120632827949901,0.01
default,ppo,42,deterministic,4.99,1.0,0.0,0.0,0.0,15.15,15.01,0.0,0.01,0.0,0.0
default,ppo,42,stochastic,4.98,1.0,0.0,0.0,0.0,15.3,15.02,0.0,0.02,0.0,0.0
default,ppo,123,deterministic,5.03,1.0,0.0,0.0,0.0,15.3,15.02,0.01,0.02,0.0,0.0
default,ppo,123,stochastic,5.01,1.0,0.0,0.0,0.0,15.3,15.04,0.01,0.02,0.0013297872340425532,0.0
default,ppo,2024,deterministic,2.01,0.99,0.0,0.01,0.0,16.93,16.95959595959596,0.0,0.0,0.04834176503653738,0.01
default,ppo,2024,stochastic,4.39,1.0,0.0,0.0,0.0,15.54,15.61,0.0,0.0,0.004484304932735426,0.0
default,ppo,7,deterministic,-96.11,0.0,0.55,0.45,0.0,2.89,,0.0,0.0,0.9601691928093056,1.0
default,ppo,7,stochastic,-96.95,0.01,0.42,0.57,0.0,5.75,70.0,0.02,0.03,0.9425998874507597,1.0
default,ppo,314,deterministic,4.79,1.0,0.0,0.0,0.0,15.0,15.21,0.0,0.0,0.013806706114398421,0.01
default,ppo,314,stochastic,4.76,1.0,0.0,0.0,0.0,15.04,15.24,0.0,0.0,0.014435695538057743,0.01
ppo_no_barriers,ppo,42,deterministic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
ppo_no_barriers,ppo,42,stochastic,4.99,1.0,0.0,0.0,0.0,15.0,15.01,0.0,0.0,0.0006662225183211193,0.0
ppo_no_barriers,ppo,123,deterministic,5.0,1.0,0.0,0.0,0.0,15.06,15.0,0.0,0.0,0.0,0.0
ppo_no_barriers,ppo,123,stochastic,4.98,1.0,0.0,0.0,0.0,15.24,15.02,0.0,0.0,0.0013315579227696406,0.0
ppo_no_barriers,ppo,2024,deterministic,4.83,1.0,0.0,0.0,0.0,15.04,15.17,0.0,0.0,0.01120632827949901,0.01
ppo_no_barriers,ppo,2024,stochastic,4.58,1.0,0.0,0.0,0.0,15.06,15.42,0.0,0.0,0.027237354085603113,0.0
ppo_no_barriers,ppo,7,deterministic,4.91,1.0,0.0,0.0,0.0,15.1,15.09,0.0,0.0,0.005964214711729622,0.0
ppo_no_barriers,ppo,7,stochastic,4.96,1.0,0.0,0.0,0.0,15.08,15.04,0.0,0.0,0.0026595744680851063,0.0
ppo_no_barriers,ppo,314,deterministic,3.8,0.99,0.0,0.01,0.0,15.1,15.151515151515152,0.0,0.0,0.06375,0.02
ppo_no_barriers,ppo,314,stochastic,3.86,0.99,0.0,0.01,0.0,15.14,15.090909090909092,0.0,0.0,0.05897114178168131,0.01
ppo_no_shaping,ppo,42,deterministic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
ppo_no_shaping,ppo,42,stochastic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
ppo_no_shaping,ppo,123,deterministic,9.83,0.98,0.0,0.02,0.0,45.28,17.622448979591837,1.9,1.99,0.11779968863518422,0.05
ppo_no_shaping,ppo,123,stochastic,9.91,0.98,0.0,0.02,0.0,45.4,17.336734693877553,1.86,1.99,0.10373880989994734,0.03
ppo_no_shaping,ppo,2024,deterministic,4.0,1.0,0.0,0.0,0.0,30.04,16.0,0.0,1.0,0.0,0.0
ppo_no_shaping,ppo,2024,stochastic,3.95,1.0,0.0,0.0,0.0,30.38,16.05,0.0,1.02,0.0006230529595015577,0.0
ppo_no_shaping,ppo,7,deterministic,-87.23,0.0,0.36,0.64,0.0,45.14,,1.93,1.93,0.8171275646743978,0.98
ppo_no_shaping,ppo,7,stochastic,-87.53,0.0,0.37,0.63,0.0,52.56,,1.89,1.98,0.7573118999776736,0.94
ppo_no_shaping,ppo,314,deterministic,4.88,1.0,0.0,0.0,0.0,15.0,15.12,0.0,0.0,0.007936507936507936,0.0
ppo_no_shaping,ppo,314,stochastic,4.81,1.0,0.0,0.0,0.0,15.1,15.19,0.0,0.0,0.005924950625411455,0.0
