variant,algo,train_seed,eval_mode,episode,seed,return_total,steps,terminated,truncated,termination_reason,animal_status,is_success,animal_lost,battery_depleted,final_battery,battery_spent,barriers_installed,effective_barriers_installed,pickup_step,delivery_step
tuned,a2c,42,deterministic,49,50049,-58.0,78,True,False,success,saved,True,False,False,85,15,0,0,5,78
tuned,a2c,42,deterministic,50,50050,-42.0,62,True,False,success,saved,True,False,False,85,15,0,0,5,62
tuned,a2c,42,deterministic,51,50051,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,deterministic,52,50052,-29.0,49,True,False,success,saved,True,False,False,83,17,0,0,5,49
tuned,a2c,42,deterministic,53,50053,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,54,50054,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,deterministic,55,50055,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,56,50056,-59.0,79,True,False,success,saved,True,False,False,85,15,0,0,5,79
tuned,a2c,42,deterministic,57,50057,-22.0,42,True,False,success,saved,True,False,False,83,17,0,0,5,42
tuned,a2c,42,deterministic,58,50058,-49.0,69,True,False,success,saved,True,False,False,83,17,0,0,5,69
tuned,a2c,42,deterministic,59,50059,-54.0,74,True,False,success,saved,True,False,False,85,15,0,0,5,74
tuned,a2c,42,deterministic,60,50060,-10.0,30,True,False,success,saved,True,False,False,85,15,0,0,5,30
tuned,a2c,42,deterministic,61,50061,-52.0,72,True,False,success,saved,True,False,False,85,15,0,0,5,72
tuned,a2c,42,deterministic,62,50062,-36.0,56,True,False,success,saved,True,False,False,85,15,0,0,5,56
tuned,a2c,42,deterministic,63,50063,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,64,50064,-22.0,42,True,False,success,saved,True,False,False,85,15,0,0,5,42
tuned,a2c,42,deterministic,65,50065,-48.0,68,True,False,success,saved,True,False,False,85,15,0,0,5,68
tuned,a2c,42,deterministic,66,50066,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,67,50067,-44.0,64,True,False,success,saved,True,False,False,85,15,0,0,5,64
tuned,a2c,42,deterministic,68,50068,-33.0,53,True,False,success,saved,True,False,False,85,15,0,0,5,53
tuned,a2c,42,deterministic,69,50069,-19.0,39,True,False,success,saved,True,False,False,85,15,0,0,5,39
tuned,a2c,42,deterministic,70,50070,-6.0,26,True,False,success,saved,True,False,False,85,15,0,0,5,26
