variant,algo,seed,step,return_smooth
tuned,a2c,123,253388,80.0
tuned,a2c,123,258421,77.5
tuned,a2c,123,263454,77.44
tuned,a2c,123,268487,80.0
tuned,a2c,123,273520,79.9
tuned,a2c,123,278553,80.0
tuned,a2c,123,283586,79.44
tuned,a2c,123,288619,80.0
tuned,a2c,123,293651,80.0
tuned,a2c,123,298684,80.0
tuned,a2c,123,303717,80.0
tuned,a2c,123,308750,80.0
tuned,a2c,123,313783,80.0
tuned,a2c,123,318816,80.0
tuned,a2c,123,323849,79.97999999999999
tuned,a2c,123,328882,80.0
tuned,a2c,123,333915,79.8
tuned,a2c,123,338947,80.0
tuned,a2c,123,343980,80.0
tuned,a2c,123,349013,76.45345454545482
tuned,a2c,123,354046,80.0
tuned,a2c,123,359079,80.0
tuned,a2c,123,364112,79.84
tuned,a2c,123,369145,80.0
tuned,a2c,123,374178,80.0
tuned,a2c,123,379210,80.0
tuned,a2c,123,384243,79.81526515151512
tuned,a2c,123,389276,79.23999999999998
tuned,a2c,123,394309,78.86
tuned,a2c,123,399342,80.0
tuned,a2c,123,404375,80.0
tuned,a2c,123,409408,80.0
tuned,a2c,123,414441,80.0
tuned,a2c,123,419473,79.98
tuned,a2c,123,424506,70.51072727272741
tuned,a2c,123,429539,79.98
tuned,a2c,123,434572,77.46
tuned,a2c,123,439605,79.91999999999999
tuned,a2c,123,444638,80.0
tuned,a2c,123,449671,79.82
tuned,a2c,123,454704,80.0
tuned,a2c,123,459736,80.0
tuned,a2c,123,464769,79.9
tuned,a2c,123,469802,79.96
tuned,a2c,123,474835,80.0
tuned,a2c,123,479868,79.98
tuned,a2c,123,484901,80.0
tuned,a2c,123,489934,80.0
tuned,a2c,123,494967,79.97999999999999
tuned,a2c,123,500000,80.0
tuned,a2c,2024,2008,43.14
tuned,a2c,2024,7038,77.52385185185186
tuned,a2c,2024,12068,78.22522875816993
tuned,a2c,2024,17098,78.05541666666667
tuned,a2c,2024,22128,79.5
tuned,a2c,2024,27159,79.44
tuned,a2c,2024,32189,79.54564102564102
tuned,a2c,2024,37219,79.86
tuned,a2c,2024,42249,79.75999999999999
tuned,a2c,2024,47280,79.664
tuned,a2c,2024,52310,76.76
tuned,a2c,2024,57340,79.44
tuned,a2c,2024,62370,79.94
tuned,a2c,2024,67400,77.32000000000001
tuned,a2c,2024,72431,76.06955555555527
tuned,a2c,2024,77461,77.6
tuned,a2c,2024,82491,79.74592592592585
